stock_id,start,end,measure,market
3260,2026-01-02,2026-01-15,5分撮合,上櫃
3260,2026-01-07,2026-01-22,20分撮合,上櫃
3260,2026-03-19,2026-04-01,5分撮合,上櫃
3264,2026-01-06,2026-01-19,5分撮合,上櫃
3363,2025-06-06,2025-06-23,20分撮合,上櫃
3363,2025-08-19,2025-09-01,5分撮合,上櫃
3363,2025-09-09,2025-09-22,20分撮合,上櫃
3363,2025-12-05,2025-12-18,5分撮合,上櫃
3363,2026-03-02,2026-03-13,5分撮合,上櫃
3363,2026-03-25,2026-04-09,20分撮合,上櫃
3363,2026-04-24,2026-05-08,20分撮合,上櫃
3443,2026-04-17,2026-04-30,5分撮合,上市
3450,2026-06-30,2026-07-13,5分撮合,上市
3455,2026-04-14,2026-04-27,5分撮合,上櫃
3455,2026-05-08,2026-05-21,20分撮合,上櫃
3491,2025-12-18,2026-01-02,5分撮合,上櫃
3491,2026-01-23,2026-02-05,20分撮合,上櫃
3491,2026-02-05,2026-03-02,20分撮合,上櫃
3491,2026-03-04,2026-03-17,20分撮合,上櫃
3491,2026-03-12,2026-03-25,20分撮合,上櫃
3491,2026-05-26,2026-06-08,5分撮合,上櫃
3529,2026-02-26,2026-03-12,5分撮合,上櫃
3529,2026-04-22,2026-05-06,5分撮合,上櫃
3532,2026-04-16,2026-04-29,5分撮合,上市
3532,2026-05-11,2026-05-22,20分撮合,上市
3532,2026-05-29,2026-06-11,20分撮合,上市
3532,2026-06-22,2026-07-03,20分撮合,上市
3583,2026-04-14,2026-04-27,5分撮合,上市
3624,2026-06-24,2026-07-09,20分撮合,上櫃
3653,2026-04-24,2026-05-08,5分撮合,上市
3653,2026-05-13,2026-05-26,20分撮合,上市
3665,2026-05-20,2026-06-02,5分撮合,上市
3675,2026-05-25,2026-06-05,5分撮合,上櫃
3675,2026-06-25,2026-07-08,20分撮合,上櫃
3714,2026-04-20,2026-05-04,5分撮合,上市
4169,2026-07-10,2026-07-23,5分撮合,上市
4542,2026-07-15,2026-07-28,20分撮合,上櫃
45421,2026-07-15,2026-07-28,20分撮合,上櫃
4556,2026-07-15,2026-07-28,20分撮合,上櫃
4576,2026-04-16,2026-04-29,5分撮合,上市
4707,2026-07-09,2026-07-22,20分撮合,上櫃
4768,2025-08-21,2025-09-03,5分撮合,上櫃
4768,2025-10-14,2025-10-28,5分撮合,上櫃
4768,2025-12-22,2026-01-06,5分撮合,上櫃
4768,2026-03-05,2026-03-18,5分撮合,上櫃
4768,2026-04-24,2026-05-08,5分撮合,上櫃
4772,2025-09-01,2025-09-12,5分撮合,上櫃
4931,2025-09-01,2025-09-12,5分撮合,上櫃
4931,2025-12-05,2025-12-22,5分撮合,上櫃
4931,2025-12-24,2026-01-08,20分撮合,上櫃
4958,2026-05-28,2026-06-10,5分撮合,上市
4967,2025-10-16,2025-11-03,5分撮合,上市
4967,2026-01-13,2026-01-26,5分撮合,上市
4979,2026-03-03,2026-03-16,5分撮合,上櫃
4979,2026-03-27,2026-04-13,20分撮合,上櫃
4979,2026-04-21,2026-05-05,20分撮合,上櫃
4979,2026-05-13,2026-05-26,20分撮合,上櫃
4979,2026-06-03,2026-06-16,20分撮合,上櫃
5321,2026-06-29,2026-07-10,20分撮合,上櫃
53211,2026-06-29,2026-07-10,20分撮合,上櫃
5340,2025-11-18,2025-12-01,5分撮合,上櫃
5340,2026-01-22,2026-02-04,5分撮合,上櫃
5340,2026-02-23,2026-03-09,20分撮合,上櫃
5340,2026-03-17,2026-03-30,20分撮合,上櫃
5340,2026-04-21,2026-05-05,20分撮合,上櫃
5425,2026-06-26,2026-07-09,5分撮合,上櫃
5464,2026-06-29,2026-07-10,5分撮合,上櫃
54642,2026-06-29,2026-07-10,5分撮合,上櫃
5489,2026-06-26,2026-07-09,5分撮合,上櫃
6127,2025-09-30,2025-10-15,5分撮合,上櫃
6127,2025-10-27,2025-11-07,20分撮合,上櫃
6127,2026-06-12,2026-06-26,5分撮合,上櫃
6147,2026-04-15,2026-04-28,5分撮合,上櫃
6173,2026-04-21,2026-05-05,5分撮合,上櫃
